question,choices,answer,explanation
GitHub Copilot Chat は既存のコードベースを理解するのにどのように役立ちますか?,A.コード リンターとフォーマッタを実行します。;B.コード構造の視覚的な図を提供する。;C.コードに関する質問に答え、説明を生成します。;D.コードを自動的にリファクタリングして読みやすさを向上します。,C,GitHub Copilot Chatは、コードに関する質問に答え、解説を生成することで、既存のコードベースの理解を支援します。
AI システムは理解可能であり、その仕組みについて明確な情報を提供する必要があることを強調する原則はどれですか。,A.公平性;B.透明性;C.包括性;D.説明責任,B,透明性の原則は、AIシステムが理解しやすく、その動作に関する明確な情報を提供する必要があることを強調しています。
ゼロショットプロンプトとは何ですか?,A. GitHub Copilotにできるだけコンテキストを与えない;B. GitHub Copilotに正解のみを表示するよう指示する;C. GitHub Copilotにプロンプ​​トとして質問のみを与え、例を与えない;D. GitHub Copilotに解決したい問題の例を示す;E. GitHub Copilotに使用したいアルゴリズムと結果の例を示す,C,ゼロショットプロンプティングとは、GitHub Copilotに質問をしたり、例を一切示さずにタスクを与えたりすることです。
コード提案中に GitHub Copilot Business によって特定のファイルが使用されないようにする正しい方法は何ですか?,A.特定のファイルを含めるように .gitignore ファイルを変更します。;B.特定のファイルを copilot.ignore ファイルに追加します。;C.ユーザーインターフェースの GitHub Copilot 設定を使用してファイルを除外します。;D.ファイル名を変更して、接尾辞 _no_copilot を追加します。,C,ファイルを除外する正しい方法は、ユーザーインターフェースの GitHub Copilot 設定を使用することです。
GitHub Copilot でカスタムモデルを使用する利点は何ですか?,A.反応がより速く生成され、より早く現れる;B.応答ではリポジトリ内のプラクティスとパターンを使用します;C.回答には組織のLLMエンジンを使用する;D.回答は正しいことが保証されている,B,カスタムモデルにより、組織のコーディング標準や規約に沿った提案が生成されます。
メトリクスAPIで取得できる要素はどれですか？（２つ選んでください。）,A. API は、GitHub Copilot によって行われたコード品質の改善に関する詳細なレポートを生成できます。;B. API は、組織内で承認され使用されているコード提案の承認率を追跡できます。;C. API を使用するとコードをリファクタリングして生産性を向上できます。;D. API はコーディング スタイルと標準準拠に関するフィードバックを提供できます。;E. API は、Copilot Chat 固有の提案受け入れメトリックを提供できます。,BE,Copilot 使用状況メトリクス API は、提案の承認率や Copilot Chat の受け入れメトリクスを提供します。
Visual Studio の /optimize スラッシュ コマンドの主な役割は何ですか?,A.選択したスタイル ガイドに従ってコードを自動的にフォーマットします。;B.実行時の複雑さを分析して、選択したコードのパフォーマンスを向上させます。;C.ドキュメントをより保守しやすく読みやすい形式に要約します。;D.コードを、よりパフォーマンスの高い言語に変換します。,B,Visual Studio の /optimize コマンドは、実行時の複雑さを分析し、パフォーマンス向上を促します。
GitHub Copilot で有効になっているパブリック コード フィルターを使用する場合、パブリック コードの一致を識別するプロセスは何ですか?,A.公開コードを検出するように設計されたフィルターを通してコード提案を実行する;B.機械学習を使用して、提案を公開コードと比較する。;C.書かれているコードのコンテキストと構造を分析する;D.ユーザーの閲覧履歴を確認して公開リポジトリを特定する,A,公開コードフィルターは、提案を検出用フィルターに通して一致を判断します。
GitHub Copilot Chat の潜在的な制限は何ですか? (それぞれの正解は解決策の一部を示しています。2つ選択してください。),A.限られたトレーニングデータ;B.複雑なコード構造を扱う能力;C.コード提案に偏りがない;D.あらゆるプログラミング言語を幅広くサポート,AD,Copilot Chat は限られたデータとサポート言語の制限があります。
GitHub Copilot Chat が最も効果を発揮する適切なユースケースを特定してください。(それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.ビジネス要件ドキュメントから技術要件仕様を作成する;B.レガシー COBOL コードを説明し、そのコードを Python などの別の言語に翻訳します。;C.新しく開発されたPythonコードの単体テストシナリオの作成;D. Webアプリケーションのエンドツーエンドのパフォーマンステストシナリオの作成,BC,Copilot Chat は、レガシーコードの翻訳やユニットテストシナリオ作成に効果的です。
独立請負業者が様々な顧客向けにアプリケーションを開発しています。顧客に懸念事項がない場合、どのGitHub Copilotプランが最適ですか？,A. GitHub Copilot Free;B. GitHub Copilot Business;C. GHE以外のお客様向けGitHub Copilot Business;D. GitHub Copilot Enterprise;E. GitHub Copilot Team,A,個人事業主には、コストパフォーマンスの高い GitHub Copilot Individual プランが最適です。
次の記述のうち、GitHub Copilot がソフトウェア開発プロセスに与える影響を最もよく表しているのはどれですか。,A.サードパーティの依存関係によるソフトウェアの脆弱性が減少します。;B.テストワークフローを自動化することでオーバーヘッドが削減されます。;C.反復的なコーディングタスクを自動化することで生産性が向上します。;D.ソフトウェア開発プロセスにおける開発者の必要性を排除します。,C,GitHub Copilot は主に、反復的なコーディング タスクを自動化して生産性を向上させることにより、ソフトウェア開発プロセスに影響を与えます。
GitHub Copilot の毒性フィルターによってフラグが付けられる可能性のあるプロンプトやコードスニペットの種類は何ですか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。),A.ヘイトスピーチまたは差別的言語（例：人種差別的中傷、不快なステレオタイプ）;B.性的に示唆的または露骨な内容;C.論理エラーを含む、または予期しない結果を生成するコード;D.強い意見や批判を含むコードコメント,AB,毒性フィルターは、ヘイトスピーチ、差別的表現、性的な内容や露骨な表現を含むコードをブロックする目的で設計されています。
GitHub は Business および Enterprise の Copilot データをどのくらいの期間保持しますか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。),A.プロンプトと提案: 保持されない;B.プロンプトと提案: 28日間保存;C.ユーザーエンゲージメントデータ: 2年間保存;D.ユーザーエンゲージメントデータ: 1年間保存,BC,Copilot のプロンプトと提案は 28 日間、ユーザーエンゲージメントデータは 2 年間保存されます。
統計分析を伴うコードを生成するために GitHub Copilot を利用する場合、開発者はどのような点に留意すべきでしょうか?,A. GitHub Copilot は、結果の統計的有意性を独自に検証できます。;B. GitHub Copilot は、ユーザーの初期コードで見つかった統計エラーを自動的に修正します。;C. GitHub Copilot の提案は統計的な傾向に基づいており、特定のデータセットに必ずしも正確に適用されるとは限りません。;D. GitHub Copilot は、これまで文書化されていなかった新しい統計手法を設計できます。,C,Copilot の統計提案は傾向に基づいているため、必ずしも個別のデータに対して正確ではない可能性があります。
AI システムがすべての人を平等に扱うことを確実にすることを目的とする Microsoft の倫理 AI 原則はどれですか?,A.プライバシーとセキュリティ;B.公平性;C.信頼性と安全性;D.包括性,B,公平性は、AI システムが差別せず平等に扱うことを保証する原則です。
Visual Studio、VS Code、または JetBrains IDE でサポートされている拡張機能を使用する場合、どの Copilot Individual 機能が利用できますか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.コードの提案;B.チャット;C.ナレッジベース;D.プルリクエストの差分分析,AB,Copilot Individual はコード提案とチャット機能をサポートしています。
GitHub Copilot を使用してテストを作成する場合でも、コードレビューが必要なのはなぜですか?,A. GitHub Copilot はテストケースで考えられるすべてのシナリオをカバーできるからです。;B. GitHub Copilot はテストシナリオに最適なコードを生成するためです。;C. GitHub Copilot によって生成されたテストケースでは、すべてのシナリオがカバーされない可能性があるため。;D. GitHub Copilot により手動テストの必要性がなくなるため。,C,Copilot が生成したテストはすべてのケースを網羅していない可能性があるためレビューが必要です。
GitHub Copilot で使用されるコンテキストをどのように改善できますか? (それぞれの正解は解決策の一部を示しています。2つ選択してください。),A. IDEで関連するタブを開く;B.プロンプトに関連コードスニペットを追加する;C.重要なファイルを.gitconfigに追加する;D.重要なファイルのプロンプトに完全なファイルパスを追加する,AB,IDE でのタブ表示とコードスニペットの直接追加により、より正確なコンテキストが提供されます。
GitHub Copilot でカスタムモデルを使用する利点は何ですか?,A.応答ではリポジトリ内のプラクティスとパターンを使用します;B.回答は正しいことが保証されている;C.回答には組織のLLMエンジンを使用する;D.反応がより速く生成され、より早く現れる,A,カスタムモデルにより、リポジトリ固有のプラクティスを反映した提案が可能になります。
コンテンツの除外によってどのような影響がありますか? (それぞれの正解は解決策の一部を示しています。2 つ選択してください。),A.除外されたコンテンツは、GitHub Copilot でコンテキストとして直接使用することはできません。;B.除外されたファイルでは、GitHub Copilot の提案は利用できなくなります。;C.除外されたコンテンツは、コードのデバッグ中に使用されなくなります。;D. IDE は除外されたコンテンツ内のコーディング提案をカウントしません。,AB,除外されたファイルは提案に利用されず、Copilot によるコンテキスト参照も行われません。
GitHub Copilot ナレッジベースについて正しいのは次のうちどれですか?,A.すべてのリポジトリがインデックス化されている;B.インデックスは静的;C.エンタープライズ機能です;D.すべてのファイルタイプがインデックス化される,C,GitHub Copilot ナレッジベースは、組織の内部ドキュメントとコードを使用して、より正確で関連性の高い提案を行うエンタープライズ機能です。
CLI で GitHub Copilot を使用してコード提案を生成するにはどうすればよいですか?,A.コードコメントを記入 -> 提案のショートカットを押す -> リストから最適な提案を選択する。;B. Copilot の提案を使用する -> 必要なコマンドを入力する -> リストから最適な提案を選択する。;C.コード スニペットを入力 -> copilot fine コマンドを使用して拡張 -> 提案されたコマンドを確認する。;D.プロジェクトのアーキテクチャを記述する -> copilot generate コマンドを使用する -> 生成された提案を受け入れる。,B,CLI では、必要なコマンドを入力すると Copilot が提案を提示し、最適な候補を選ぶ形式です。
ユニットテストを提案する際に、GitHub Copilot はどのように制限されるのでしょうか?,A. GitHub Copilot は、エッジケースや複雑な統合シナリオを含む、あらゆるタイプのユニットテストを生成できます。;B. GitHub Copilot は主に、コア機能に重点を置いた基本的な単体テストを提案しますが、包括的なカバレッジのためには開発者からの追加入力が必要になることがよくあります。;C. GitHub Copilot は、コードのあらゆる複雑さを処理し、適切な単体テストを自動的に生成します。;D. GitHub Copilot のユニットテスト生成における制限は、使用している IDE のバージョンによって異なる場合があります。,B,Copilot は主に基本的な単体テストを生成し、開発者による補足が求められます。
GitHub Copilot はパフォーマンス向上のためにコードの最適化をどのように提案しますか?,A.コードベースを分析し、より効率的なアルゴリズムやデータ構造を提案します。;B.より効率的なコードを使用するためにコードベースを自動的に書き換える。;C.最適なパフォーマンスを保証する厳格なコーディング標準を実施します。;D.コードベースのパフォーマンスに関する詳細なレポートを提供することにより。,A,Copilot は、より効率的なアルゴリズムやデータ構造の提案によりパフォーマンス向上を支援します。
/tests スラッシュ コマンドは開発者をどのように支援しますか?,A.詳細なテストドキュメントを作成します。;B.選択したコードの単体テストを作成します。;C.外部のテスト フレームワークと統合します。;D.テストケースを実行してコードの問題を見つけます。,B,/tests コマンドは、選択コードに対するユニットテストを作成し、品質確保を支援します。
GitHub Copilot Chat をツールとして使用する目的を最もよく表すシナリオは次のどれですか。,A.開発者がコードを生成するための完全な代替手段です。;B.提案は提供するものの、人間の判断に依存する生産性向上ツール。;C.追加の入力や監視を必要としないソフトウェア開発ソリューション。;D.デバッグとエラー修正専用に設計されたツール。,B,Copilot Chat は開発を補助するツールであり、判断は開発者に委ねられます。
GitHub Copilot が提供する提案の品質を高めるには、どのような方法がありますか? (3 つ選択してください。),A.問題またはタスクを明確に定義する;B.コードコメントに個人情報を含める;C.意味のある変数名を使用する;D.望ましい出力の例を示す;E. .gitignoreファイルを使用して無関係なファイルを除外する,ACD,明確なタスク定義、意味のある変数、出力例が品質向上に効果的です。
GitHub Copilot の使用中に、Microsoft と GitHub から IP 侵害の防止に関する支援を受けるには、どのような構成を設定する必要がありますか?,A.公開コードと「ブロック」に一致する提案;B. MITまたはGPLライセンスのコードのブロックを強制する;C.コードの提案を受け入れる前に自分で確認する必要がある;D. GitHub Copilotライセンスチェックを有効にする,A,Copilot の設定で公開コードに一致する提案をブロックすると、IP侵害のリスクが軽減されます。
GitHub Copilot Business の監査ログ イベントにアクセスする正しい方法は何ですか?,A.組織のGitHub設定のセキュリティタブに移動します;B.リポジトリ設定のInsightsタブに移動します;C.組織のGitHub設定の監査ログセクションを使用する;D. GitHubリポジトリのコードタブを使用する,C,Copilot Business の監査ログは、組織の GitHub 設定 > 監査ログセクションからアクセスできます。
品質向上のためにコードをリファクタリングする際に GitHub Copilot Chat をガイドするために使用できるプロンプトは次のどれですか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.「この関数の読みやすさを改善する方法を教えてください。」;B.「このコードセグメントの保守性を高める方法を提案してください。」;C.「最新のコーディング標準を満たすようにアプリケーションをリファクタリングします。」;D.「将来のコーディングトレンドを予測し、それに応じてコードベースを更新します。」,AB,具体的な改善内容（可読性や保守性）を指定するプロンプトは効果的です。
GitHub Copilot へのプロンプトを改善するために使用できる 2 つの手法は何ですか? (2 つ選択してください。),A.具体的な成功基準を提供する;B.利用されたファイルに関するすべての情報を提供する;C.反応を得るためにコンテンツをどこから入手するかについての洞察を提供する;D.裏付けとなる文書へのリンクを提供する,AD,プロンプトを改善するには、具体的な成功基準を提供し、サポートドキュメントへのリンクを含めるとよいです。
GitHub Copilot Individual はどのように請求されますか? (それぞれの正解はソリューションの一部を示しています。2 つ選択してください。),A.月額サブスクリプション;B.年間購読;C.実際の使用量に基づいて月額制で課金されるサービス;D.すべてのオープンソースプロジェクトは無料（課金なし）,AB,GitHub Copilot Individual は、月額または年額のサブスクリプションで請求されます。
公平性の概念を AI ツールの操作プロセスにどのように統合できるでしょうか?,A.アクセシビリティに重点を置くことで公平性が確保されます。;B.トレーニング用の大規模なデータセットの収集に重点を置くことで公平性が確保されます。;C. AI ツールのパフォーマンスを定期的に監視することで、出力の公平性が確保されます。;D. AI データとアルゴリズムを偏りのないようにトレーニングすることで、公平性が確保されます。,D,公平性の確保には、偏りのないデータとアルゴリズムを使ったトレーニングが重要です。
コマンドラインインターフェース (CLI) の GitHub Copilot を使用して、次の設定を構成できます。(正解はそれぞれ解決策の一部を示します。2 つ選択してください。),A.デフォルトの実行確認;B.使用状況分析;C.デフォルトのエディタ;D. GitHub CLIサブコマンド,AB,CLI の Copilot では、デフォルト実行確認と使用状況分析の設定が可能です。
コンテンツ除外の追加や更新にはどれくらいの時間がかかりますか?,A.最大30分;B. 45～60分;C.約60～90分;D. 24時間,A,コンテンツ除外の追加・更新は最大30分で反映されます。
GitHub Copilot Chat はどのようにして機能が正しく動作することを保証しますか?,A.コードのコンテキストとセマンティクスに基づいてアサーションを提案する。;B.関数のすべてのテストを自動的に記述する。;C.関数の実装コードを記述する。;D.テストケースを実行してコードの正確性を検証します。,A,Copilot Chat はアサーション提案を通じて関数の動作検証を支援します。
GitHub Copilot は、ソフトウェア開発ライフサイクル (SDLC) の要件分析フェーズで開発者をどのように支援できますか?,A.詳細な要件ドキュメントを自動的に生成します。;B.要件の文書化に役立つテンプレートとコード スニペットを提供します。;C. /help を使用する際に潜在的な要件の競合を特定し、修正します。;D.利害関係者とのコミュニケーションと会議を管理する。,B,Copilot はテンプレートやコードスニペットを通じて要件文書作成を支援します。
次のどれがロールプロンプトを説明していますか?,A.より良い提案を得るために、あなたの役割をプロンプトで説明する;B. GitHub Copilotにどのような口調で応答するかを伝える;C. GitHub Copilotに提案の役割を説明するよう促す;D. GitHub Copilotに、使用したいデータの形式の複数の例を与える,A,ロールプロンプトは役割（例: ソフトウェアエンジニア）を指定して提案精度を高めます。
Generative AI (Gen AI) ツールが不正確な出力を作成するのはなぜでしょうか?,A. Gen AI ツールは、一度に多数のリクエストによって過負荷状態になっています。;B. Gen AI ツールはダウンタイムが発生しており、完全に回復していません。;C. Gen AI ツールは、事実の正確さよりも創造性に重点を置いてプログラムされています。;D.トレーニング データに偏りや矛盾が含まれている可能性があります。,D,トレーニングデータの偏りや矛盾により不正確な出力が生成されることがあります。
